cuisine_type,google_rating,total_restaurants
"Asturian, Contemporary",5,1
"Noodles, Shanghainese",5,1
"Japanese Contemporary, Mediterranean Cuisine",5,1
"Classic Cuisine, Austrian",5,1
"Modern British, Creative",5,1
"Seasonal Cuisine, Vegetarian",5,1
"Cantonese, Fujian",5,1
"Mediterranean Cuisine, Campanian",5,1
"Dwaeji-gukbap, Korean",5,1
"Grills, Contemporary",4.9,1
"Traditional Cuisine, Asturian",4.9,1
"Meats and Grills, Seafood",4.9,1
"Spanish Contemporary, Modern Cuisine",4.9,1
"Fusion, Sushi",4.9,1
"International, Italian",4.9,2
"Modern British, Sharing",4.9,1
"Cuisine from the Marches, Italian Contemporary",4.9,1
"Classic French, Creative",4.9,1
"Innovative, International",4.9,1
"Savoyard, Creative",4.9,1
"Modern Cuisine, South American",4.9,1
"Country cooking, Asian Influences",4.9,1
"Innovative, Regional Cuisine",4.9,1
"Austrian, Farm to table",4.9,1
"Modern French, Alsatian",4.9,1
"Seasonal Cuisine, Grills",4.9,1
"International, Grills",4.9,1
"Apulian, Creative",4.9,1
"Classic French, French Contemporary",4.9,1
"Creative, Japanese",4.9,1
"Asian, Asian Influences",4.9,1
"Seasonal Cuisine, Tuscan",4.9,1
"Seasonal Cuisine, Italian Contemporary",4.9,1
"Modern Cuisine, Japanese Contemporary",4.9,1
"Peruvian, International",4.9,1
"Modern French, Seafood",4.9,1
"Farm to table, Vegan",4.9,1
"Bavarian, Seasonal Cuisine",4.9,1
"Modern British, Seafood",4.9,1
"Modern Cuisine, European Contemporary",4.9,1
"Country cooking, Creative French",4.9,1
"Regional European, Farm to table",4.9,1
"French, Provençal",4.9,1
"Filipino, Creative",4.9,1
"Izakaya, Sharing",4.9,1
"Turkish, Regional Cuisine",4.9,1
Alpine,4.9,1
"Contemporary, Emilian",4.9,1
"Korean, Classic Cuisine",4.9,1
"Regional Cuisine, Spanish",4.9,1
"Indian, Modern Cuisine",4.9,1
"Farm to table, Regional European",4.9,1
"Vegan, Vegetarian",4.866666666666670,3
"Modern Cuisine, Vegetarian",4.85,2
"Contemporary, Sharing",4.85,2
"Creative, Calabrian",4.85,2
Creative British,4.816666666666670,6
"Seasonal Cuisine, Country cooking",4.816666666666670,6
"Modern Cuisine, Russian",4.800000000000000,2
"Regional Cuisine, Creative",4.800000000000000,2
"Norwegian, Modern Cuisine",4.800000000000000,2
Cuisine from Lazio,4.800000000000000,2
"Contemporary, Steakhouse",4.800000000000000,2
"Turkish, Creative",4.800000000000000,2
"Creative, Austrian",4.800000000000000,2
"Organic, Creative",4.8,1
"Creative, Alsatian",4.8,1
"Modern Cuisine, Hungarian",4.8,8
"Contemporary, Turkish",4.8,1
"Italian, Japanese Contemporary",4.8,1
"Irish, Modern Cuisine",4.8,1
"Contemporary, Asian Contemporary",4.8,1
