Name,google_rating,google_reviews
Steirereck im Stadtpark,4.5,2932.0
Amador,4.6,420.0
Jungsik New York,4.7,792.0
Per Se,4.5,1834.0
Le Bernardin,4.6,3585.0
Eleven Madison Park,4.4,2943.0
Masa,4.2,513.0
The Inn at Little Washington,4.7,1062.0
Smyth,4.6,1232.0
Alinea,4.6,2674.0
Sorn,4.6,395.0
Azurmendi,4.7,1747.0
Aponiente,4.7,1782.0
DiverXO,4.4,2934.0
Noor,4.7,878.0
Cenador de Amós,4.7,1059.0
Quique Dacosta,4.5,1336.0
Atrio,4.7,1821.0
Casa Marcial,4.7,813.0
El Celler de Can Roca,4.8,4170.0
Reua Thai,4.8,296.0
Restobar Vista,4.8,26.0
Alma Bistro,4.2,54.0
't Spiehuis,4.5,181.0
Akelaŕe,4.5,1767.0
Martín Berasategui,4.8,1319.0
Lasarte,4.7,1296.0
ABaC,4.4,3272.0
Disfrutar,4.8,3223.0
Arzak,4.7,1871.0
Cocina Hermanos Torres,4.7,1395.0
Ultraviolet by Paul Pairet,4.6,35.0
Taian Table,4.2,10.0
Casa Perbellini 12 Apostoli,4.6,857.0
Le Calandre,4.7,810.0
Enrico Bartolini al Mudec,4.6,488.0
Uliassi,4.8,1356.0
Enoteca Pinchiorri,4.4,854.0
Atelier Moessmer Norbert Niederkofler,4.7,86.0
Villa Crespi,4.8,5772.0
Quattro Passi,4.6,301.0
La Pergola,4.6,1287.0
Reale,4.7,232.0
Da Vittorio,4.8,2513.0
Osteria Francescana,4.5,2576.0
Dal Pescatore,4.7,452.0
Piazza Duomo,4.5,1033.0
Schloss Schauenstein,4.8,576.0
Restaurant de l'Hôtel de Ville,4.9,944.0
Sven Wassmer Memories,4.8,75.0
Cheval Blanc by Peter Knogl,4.9,270.0
Kanda,4.5,169.0
Azabu Kadowaki,4.2,239.0
Kohaku,4.6,247.0
SÉZANNE,4.3,245.0
Harutaka,4.4,228.0
L'OSIER,4.6,681.0
Kagurazaka Ishikawa,4.6,249.0
RyuGin,4.1,477.0
L'Effervescence,4.6,825.0
Joël Robuchon,4.5,853.0
Quintessence,4.5,782.0
Sazenka,4.6,259.0
Xin Rong Ji (Xinyuan South Road),4.4,25.0
Chao Shang Chao (Chaoyang),4.0,3.0
De Librije,4.8,1009.0
Taïrroir,4.3,1607.0
JL Studio,4.4,776.0
Le Palais,4.4,7931.0
Addison,4.5,411.0
Atelier Crenn,4.7,663.0
The French Laundry,4.6,1995.0
Quince,4.6,664.0
SingleThread,4.6,633.0
Benu,4.6,665.0
Zén,4.6,274.0
Odette,4.7,207.0
Les Amis,4.6,831.0
Hiša Franko,4.6,836.0
Frantzén,4.8,658.0
noma,4.6,2072.0
Jordnær,4.8,224.0
Geranium,4.8,25.0
RE-NAA,4.8,187.0
Maaemo,4.7,609.0
Taian,4.0,180.0
Hyotei,4.2,722.0
HAJIME,4.3,247.0
Kikunoi Honten,4.4,813.0
Isshisoden Nakamura,4.2,153.0
Mizai,4.3,202.0
Gion Sasaki,4.4,248.0
Kashiwaya Osaka Senriyama,4.5,250.0
ES:SENZ,4.9,65.0
Waldhotel Sonnora,4.8,296.0
The Table Kevin Fehling,4.7,399.0
Aqua,4.8,239.0
JAN,4.8,194.0
Restaurant Bareiss,4.8,195.0
Rutz,4.6,627.0
Victor's Fine Dining by christian bau,4.7,286.0
schanz. restaurant.,4.9,241.0
Schwarzwaldstube,4.9,154.0
La Table du Castellet,4.7,398.0
Plénitude - Cheval Blanc Paris,4.9,175.0
Le Petit Nice,4.3,914.0
Mirazur,4.4,1455.0
AM par Alexandre Mazzia,4.7,806.0
Pic,4.7,1407.0
